Model,ROC_AUC,PR_AUC,Precision,Recall,F1_Score
Logistic Regression,0.6658781546613628,0.2048914937613978,0.1699720875569267,0.5378893537889354,0.2583165885242242
XGBoost,0.6757389191376071,0.21378580220563487,0.16883465200482767,0.5853091585309158,0.26207327227310573
